StudyYear,Age Group,Weekly Cost ($)
2008,Infant,97.4
2009,Infant,102.0
2010,Infant,106.6
2011,Infant,111.2
2012,Infant,115.8
2013,Infant,120.4
2014,Infant,125.0
2015,Infant,125.0
2016,Infant,125.0
2017,Infant,125.0
2018,Infant,125.0
2008,Infant,123.2
2009,Infant,123.0
2010,Infant,122.8
2011,Infant,122.6
2012,Infant,122.4
2013,Infant,122.2
2014,Infant,122.0
2015,Infant,123.0
2016,Infant,124.0
2017,Infant,125.0
2018,Infant,126.0
2008,Infant,86.4
2009,Infant,87.0
2010,Infant,87.6
2011,Infant,88.2
2012,Infant,88.8
2013,Infant,89.4
2014,Infant,90.0
2015,Infant,91.33
2016,Infant,92.67
2017,Infant,94.0
2018,Infant,95.33
2008,Infant,89.0
2009,Infant,90.0
2010,Infant,91.0
2011,Infant,92.0
2012,Infant,93.0
2013,Infant,94.0
2014,Infant,95.0
2015,Infant,96.67
2016,Infant,98.33
2017,Infant,100.0
2018,Infant,101.67
2008,Infant,122.2
2009,Infant,122.0
2010,Infant,121.8
2011,Infant,121.6
2012,Infant,121.4
2013,Infant,121.2
2014,Infant,121.0
2015,Infant,122.33
2016,Infant,123.67
2017,Infant,125.0
2018,Infant,126.33
2008,Infant,97.4
2009,Infant,102.0
2010,Infant,106.6
2011,Infant,111.2
2012,Infant,115.8
2013,Infant,120.4
2014,Infant,125.0
2015,Infant,125.0
2016,Infant,125.0
2017,Infant,125.0
2018,Infant,125.0
2008,Infant,97.4
2009,Infant,102.0
2010,Infant,106.6
2011,Infant,111.2
2012,Infant,115.8
2013,Infant,120.4
2014,Infant,125.0
2015,Infant,125.0
2016,Infant,125.0
2017,Infant,125.0
2018,Infant,125.0
2008,Infant,84.2
2009,Infant,86.0
2010,Infant,87.8
2011,Infant,89.6
2012,Infant,91.4
2013,Infant,93.2
2014,Infant,95.0
2015,Infant,96.67
2016,Infant,98.33
2017,Infant,100.0
2018,Infant,101.67
2008,Infant,109.0
2009,Infant,110.0
2010,Infant,111.0
2011,Infant,112.0
2012,Infant,113.0
2013,Infant,114.0
2014,Infant,115.0
2015,Infant,121.67
2016,Infant,128.33
2017,Infant,135.0
2018,Infant,141.67
2008,Infant,80.4
2009,Infant,80.0
2010,Infant,79.6
2011,Infant,79.2
2012,Infant,78.8
2013,Infant,78.4
2014,Infant,78.0
2015,Infant,78.67
2016,Infant,79.33
2017,Infant,80.0
2018,Infant,80.67
2008,Infant,97.4
2009,Infant,102.0
2010,Infant,106.6
2011,Infant,111.2
2012,Infant,115.8
